Title,Category,Rating,Year,Length,Type,Age,Genre,URL
Entertainment Tonight,"['self', 'archive footage']",3.5/10,1981–,30m,TV Series,,['News'],https://www.imdb.com/title/tt0081857/?ref_=nm_flmg_slf_10
D'Astrain No Cinema: Burning Questions,['self'],9.4/10,2019,25m,Video,,['Short'],https://www.imdb.com/title/tt9740094/?ref_=nm_flmg_slf_11
Hollywood's Best Film Directors,['self'],6.8/10,2009–2018,26m,TV Series,,['Biography'],https://www.imdb.com/title/tt1454262/?ref_=nm_flmg_slf_12
Miss Peregrine's Home For Peculiar Children: Hollows and Ex-Hollows,['self'],,2017,9m,Movie,11,['Documentary'],https://www.imdb.com/title/tt9028322/?ref_=nm_flmg_slf_13
The Grand Tour,['self'],8.7/10,2016–,1h,TV Series,16+,"['Comedy', 'Sport', 'Talk-Show']",https://www.imdb.com/title/tt5712554/?ref_=nm_flmg_slf_14
The Undead Series,['self'],8.1/10,2016–2020,,TV Series,,[],https://www.imdb.com/title/tt5921272/?ref_=nm_flmg_slf_15
Miss Peregrine's Home for Peculiar Children: The Peculiar Story,['self'],8.4/10,2016,13m,Video,11,"['Documentary', 'Short']",https://www.imdb.com/title/tt11176540/?ref_=nm_flmg_slf_16
Made in Hollywood,"['self', 'archive footage']",4.9/10,2005–,1h,TV Series,TV-PG,['Talk-Show'],https://www.imdb.com/title/tt0911896/?ref_=nm_flmg_slf_17
Extra,['self'],3.2/10,1994–,30m,TV Series,TV-PG,['News'],https://www.imdb.com/title/tt0247094/?ref_=nm_flmg_slf_18
Simulacrum Tremendum,['self'],,2016,,Movie,,[],https://www.imdb.com/title/tt5921666/?ref_=nm_flmg_slf_19
Live from Lincoln Center,['self'],8.6/10,1976–,,TV Series,,"['Music', 'Musical']",https://www.imdb.com/title/tt0165042/?ref_=nm_flmg_slf_20
The Death of Superman Lives: What Happened?,['self'],7.1/10,2015,1h 44m,Movie,Not Rated,['Documentary'],https://www.imdb.com/title/tt2753778/?ref_=nm_flmg_slf_21
Film Adventurer Karel Zeman,['self'],7.6/10,2015,1h 42m,Movie,,"['Documentary', 'Biography']",https://www.imdb.com/title/tt3982912/?ref_=nm_flmg_slf_22
The Daily Show,['self'],8.3/10,1996–,22m,TV Series,TV-14,"['Comedy', 'News', 'Talk-Show']",https://www.imdb.com/title/tt0115147/?ref_=nm_flmg_slf_23
Na plovárne,['self'],7.7/10,1999–,23m,TV Series,,[],https://www.imdb.com/title/tt0307787/?ref_=nm_flmg_slf_24
The Killers: Here with Me Behind the Scenes,['self'],7.1/10,2013,5m,Movie,,"['Documentary', 'Short', 'Horror']",https://www.imdb.com/title/tt5769452/?ref_=nm_flmg_slf_26
The Oscars,['self'],7.2/10,2013,2h 55m,TV Special,TV-14,"['Comedy', 'Music']",https://www.imdb.com/title/tt2461862/?ref_=nm_flmg_slf_27
In Context,['self'],8.3/10,2011–,30m,TV Series,,['Documentary'],https://www.imdb.com/title/tt0817377/?ref_=nm_flmg_slf_28
56th BFI London Film Festival,['self'],,2012,1h 30m,TV Special,,['Documentary'],https://www.imdb.com/title/tt2471884/?ref_=nm_flmg_slf_29
The Batmobile,['self'],7.4/10,2012,1h,TV Movie,TV-PG,['Documentary'],https://www.imdb.com/title/tt2274760/?ref_=nm_flmg_slf_30
Comic Con 2012 Live,['self'],6.9/10,2012,,TV Special,,['Reality-TV'],https://www.imdb.com/title/tt2270788/?ref_=nm_flmg_slf_31
34-y Moskovskiy mezhdunarodnyy kinofestival,['self'],6.4/10,2012,2h 10m,TV Special,,[],https://www.imdb.com/title/tt2277962/?ref_=nm_flmg_slf_32
Vecherniy Urgant,['self'],6.3/10,2012–,30m,TV Series,,"['Comedy', 'News', 'Talk-Show']",https://www.imdb.com/title/tt4264964/?ref_=nm_flmg_slf_33
Up Close with Carrie Keagan,['self'],4.0/10,2007–,,TV Series,,[],https://www.imdb.com/title/tt1434322/?ref_=nm_flmg_slf_34
Janela Indiscreta,['self'],6.4/10,2010–,30m,TV Series,,[],https://www.imdb.com/title/tt1612376/?ref_=nm_flmg_slf_35
IC Places Hollywood,['self'],5.3/10,2012,30m,TV Series,,[],https://www.imdb.com/title/tt2185933/?ref_=nm_flmg_slf_36
A Moment With,['self'],4.6/10,2012,,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt2226228/?ref_=nm_flmg_slf_37
Ray Harryhausen: Special Effects Titan,['self'],7.5/10,2011,1h 30m,Movie,Not Rated,['Documentary'],https://www.imdb.com/title/tt1839590/?ref_=nm_flmg_slf_38
A Conversation with Danny Elfman and Tim Burton,['self'],7.6/10,2011,1h 7m,Movie,,['Documentary'],https://www.imdb.com/title/tt2640712/?ref_=nm_flmg_slf_39
The Orange British Academy Film Awards,['self'],6.3/10,2011,,TV Special,,[],https://www.imdb.com/title/tt1845276/?ref_=nm_flmg_slf_40
The Hour,['self'],6.4/10,2004–2014,1h,TV Series,,"['Comedy', 'Music', 'News']",https://www.imdb.com/title/tt0456031/?ref_=nm_flmg_slf_41
BFI London Film Festival Awards,['self'],,2010,1h,TV Special,,[],https://www.imdb.com/title/tt1777542/?ref_=nm_flmg_slf_42
Christopher Lee - Gentleman des Grauens,['self'],6.9/10,2010,59m,TV Movie,,['Documentary'],https://www.imdb.com/title/tt1566500/?ref_=nm_flmg_slf_43
The 7PM Project,['self'],4.4/10,2009–,1h,TV Series,,"['Comedy', 'News']",https://www.imdb.com/title/tt1480165/?ref_=nm_flmg_slf_44
The British Academy Television Awards,['self'],5.9/10,2010,,TV Special,,[],https://www.imdb.com/title/tt1661083/?ref_=nm_flmg_slf_45
Alice in Wonderland: Effecting Wonderland,['self'],7.2/10,2010,7m,Movie,,['Documentary'],https://www.imdb.com/title/tt1670622/?ref_=nm_flmg_slf_46
Alice in Wonderland: Finding Alice,['self'],7.2/10,2010,5m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt1706585/?ref_=nm_flmg_slf_47
Alice in Wonderland: The Mad Hatter,['self'],7.4/10,2010,6m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt1670623/?ref_=nm_flmg_slf_48
The Fabulous Picture Show,['self'],7.8/10,2006–2011,,TV Series,,"['History', 'Talk-Show']",https://www.imdb.com/title/tt1118153/?ref_=nm_flmg_slf_49
Festival international de Cannes,['self'],7.2/10,1952–,,TV Series,,[],https://www.imdb.com/title/tt6581590/?ref_=nm_flmg_slf_50
Le grand journal de Canal+,['self'],5.9/10,2004–,1h,TV Series,,"['Documentary', 'Comedy', 'Talk-Show']",https://www.imdb.com/title/tt0426701/?ref_=nm_flmg_slf_51
Cinema 3,['self'],6.3/10,1984–2016,,TV Series,,['News'],https://www.imdb.com/title/tt0111920/?ref_=nm_flmg_slf_52
Go' aften Danmark,['self'],4.3/10,2002–,1h,TV Series,,"['News', 'Talk-Show']",https://www.imdb.com/title/tt0320016/?ref_=nm_flmg_slf_53
Disney Get Connected,['self'],6.5/10,2008–,,TV Series,,['Family'],https://www.imdb.com/title/tt1823359/?ref_=nm_flmg_slf_54
GMTV,['self'],3.8/10,1993–2010,3h 25m,TV Series,,['News'],https://www.imdb.com/title/tt0222560/?ref_=nm_flmg_slf_55
Friday Night with Jonathan Ross,['self'],7.1/10,2001–2010,1h,TV Series,,"['Comedy', 'Music', 'Talk-Show']",https://www.imdb.com/title/tt0299302/?ref_=nm_flmg_slf_56
Xposé,['self'],2.8/10,2007–2019,30m,TV Series,,"['Music', 'News']",https://www.imdb.com/title/tt1016283/?ref_=nm_flmg_slf_57
'9': The Long and the Short of It,['self'],6.5/10,2009,16m,Video,,['Short'],https://www.imdb.com/title/tt1584778/?ref_=nm_flmg_slf_58
'9': U-Control Picture in Picture,['self'],,2009,,Video,,[],https://www.imdb.com/title/tt1584779/?ref_=nm_flmg_slf_59
The Look of '9',['self'],6.0/10,2009,13m,Video,,['Short'],https://www.imdb.com/title/tt1584823/?ref_=nm_flmg_slf_60
Charlie Rose,['self'],7.5/10,1991–2017,1h,TV Series,,"['News', 'Talk-Show']",https://www.imdb.com/title/tt0270116/?ref_=nm_flmg_slf_61
Scream Awards 2008,['self'],7.5/10,2008,2h,TV Special,,[],https://www.imdb.com/title/tt1302199/?ref_=nm_flmg_slf_62
The Nightmare Before Christmas: The Original Poem,['self'],,2008,12m,Video,Not Rated,"['Animation', 'Short', 'Fantasy']",https://www.imdb.com/title/tt19848022/?ref_=nm_flmg_slf_63
Sweeney Todd: Sweeney Is Alive - The Real Story of the Demon Barber,['self'],6.1/10,2008,20m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt1372743/?ref_=nm_flmg_slf_64
Burton + Depp + Carter = Todd,['self'],,2008,26m,Video,,['Documentary'],https://www.imdb.com/title/tt15893594/?ref_=nm_flmg_slf_65
Designs for a Demon Barber,['self'],,2008,9m,Video,,['Documentary'],https://www.imdb.com/title/tt15893608/?ref_=nm_flmg_slf_66
The South Bank Show,['self'],7.0/10,1978–,53m,TV Series,,[],https://www.imdb.com/title/tt0077082/?ref_=nm_flmg_slf_67
Cartelera,['self'],6.4/10,1994–2008,30m,TV Series,,"['Documentary', 'News']",https://www.imdb.com/title/tt0447736/?ref_=nm_flmg_slf_68
Miradas 2,['self'],5.0/10,2004–,25m,TV Series,,[],https://www.imdb.com/title/tt0454730/?ref_=nm_flmg_slf_69
Caiga quien caiga,['self'],7.2/10,1996–2010,,TV Series,,['News'],https://www.imdb.com/title/tt0241090/?ref_=nm_flmg_slf_70
Film '72,['self'],7.0/10,1971–2018,30m,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt0192897/?ref_=nm_flmg_slf_71
La 2 noticias,['self'],8.8/10,1994–2020,30m,TV Series,,[],https://www.imdb.com/title/tt0395043/?ref_=nm_flmg_slf_72
This Morning,['self'],4.6/10,1988–,2h,TV Series,,['News'],https://www.imdb.com/title/tt0181261/?ref_=nm_flmg_slf_73
Extérieur jour,['self'],,2007–,,TV Series,,[],https://www.imdb.com/title/tt1098241/?ref_=nm_flmg_slf_74
Broadway Beat,['self'],7.0/10,1990–,30m,TV Series,,[],https://www.imdb.com/title/tt0881044/?ref_=nm_flmg_slf_75
