Title,Category,Rating,Year,Length,Type,Age,Genre,URL
Late Night with Seth Meyers,['self'],6.2/10,2014–,1h,TV Series,TV-14,['Comedy'],https://www.imdb.com/title/tt3513388/?ref_=nm_flmg_slf_16
The View,['self'],2.5/10,1997–,1h,TV Series,TV-14,[],https://www.imdb.com/title/tt0123366/?ref_=nm_flmg_slf_17
Ellen: The Ellen DeGeneres Show,['self'],6.7/10,2003–2022,1h,TV Series,TV-G,"['Comedy', 'Talk-Show']",https://www.imdb.com/title/tt0379623/?ref_=nm_flmg_slf_18
Ok! TV,"['self', 'archive footage']",2.3/10,2013–,30m,TV Series,,['News'],https://www.imdb.com/title/tt3503424/?ref_=nm_flmg_slf_19
Entertainment Tonight,"['self', 'archive footage']",3.5/10,1981–,30m,TV Series,,['News'],https://www.imdb.com/title/tt0081857/?ref_=nm_flmg_slf_20
CTV News at 11:30 Toronto,['self'],5.8/10,2016–,,TV Series,,['News'],https://www.imdb.com/title/tt4367274/?ref_=nm_flmg_slf_21
IMDb at Toronto International Film Festival,['self'],6.1/10,2017–,,TV Series,,[],https://www.imdb.com/title/tt8783910/?ref_=nm_flmg_slf_22
Jimmy Kimmel Live!,['self'],6.5/10,2003–,1h,TV Series,TV-14,"['Comedy', 'Music']",https://www.imdb.com/title/tt0320037/?ref_=nm_flmg_slf_23
Dumb: The Story of Big Brother Magazine,['self'],7.4/10,2017,1h 19m,Movie,TV-MA,[],https://www.imdb.com/title/tt6794450/?ref_=nm_flmg_slf_24
Live with Regis and Kathie Lee,['self'],4.5/10,1988–,1h,TV Series,TV-PG,['Talk-Show'],https://www.imdb.com/title/tt0096636/?ref_=nm_flmg_slf_25
The 23rd Annual Screen Actors Guild Awards,['self'],6.0/10,2017,,TV Special,,[],https://www.imdb.com/title/tt6435824/?ref_=nm_flmg_slf_26
The 74th Annual Golden Globe Awards,['self'],5.5/10,2017,3h,TV Special,TV-14,[],https://www.imdb.com/title/tt5824900/?ref_=nm_flmg_slf_27
Hollywood Film Awards,"['self', 'self']",8.0/10,2016,,Video,,"['News', 'Talk-Show']",https://www.imdb.com/title/tt6236522/?ref_=nm_flmg_slf_28
Le grand journal de Canal+,['self'],5.9/10,2004–,1h,TV Series,,"['Documentary', 'Comedy']",https://www.imdb.com/title/tt0426701/?ref_=nm_flmg_slf_29
Made in Hollywood,"['self', 'archive footage']",4.9/10,2005–,1h,TV Series,TV-PG,[],https://www.imdb.com/title/tt0911896/?ref_=nm_flmg_slf_30
73rd Golden Globe Awards,['self'],7.0/10,2016,,TV Special,TV-14,[],https://www.imdb.com/title/tt4399942/?ref_=nm_flmg_slf_31
2015 MTV Movie Awards,['self'],4.3/10,2015,,TV Special,,"['Comedy', 'Music']",https://www.imdb.com/title/tt4577398/?ref_=nm_flmg_slf_32
CBS This Morning,['self'],4.8/10,1992–,2h,TV Series,,[],https://www.imdb.com/title/tt2163227/?ref_=nm_flmg_slf_33
The Insider,['self'],2.6/10,2004–2017,30m,TV Series,TV-PG,[],https://www.imdb.com/title/tt0430836/?ref_=nm_flmg_slf_35
Unscripted,['self'],5.9/10,2011–,,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt3524446/?ref_=nm_flmg_slf_36
Conan,['self'],8.2/10,2010–2021,42m,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']",https://www.imdb.com/title/tt1637574/?ref_=nm_flmg_slf_37
Weekend Ticket,['self'],5.2/10,2013–,,TV Series,,"['Short', 'News']",https://www.imdb.com/title/tt2787918/?ref_=nm_flmg_slf_38
The Colbert Report,['self'],8.4/10,2005–2014,30m,TV Series,TV-14,"['Comedy', 'News']",https://www.imdb.com/title/tt0458254/?ref_=nm_flmg_slf_39
Sit Down with the Stars,['self'],3.2/10,2014–,,TV Series,,['News'],https://www.imdb.com/title/tt4369244/?ref_=nm_flmg_slf_40
The Graham Norton Show,"['self', 'archive footage']",8.4/10,2007–,1h,TV Series,15,"['Comedy', 'Music']",https://www.imdb.com/title/tt0924651/?ref_=nm_flmg_slf_41
2014 MTV Movie Awards,['self'],5.5/10,2014,,TV Special,,['Comedy'],https://www.imdb.com/title/tt3578774/?ref_=nm_flmg_slf_42
MTV Movie Awards Takeover,['self'],4.6/10,2014,,TV Special,,['Comedy'],https://www.imdb.com/title/tt4380568/?ref_=nm_flmg_slf_43
The Oscars,['self'],7.7/10,2014,2h 55m,TV Special,TV-14,[],https://www.imdb.com/title/tt2796782/?ref_=nm_flmg_slf_44
Inside Comedy,['self'],7.6/10,2012–,30m,TV Series,TV-MA,['Comedy'],https://www.imdb.com/title/tt2012383/?ref_=nm_flmg_slf_45
The Queen Latifah Show,['self'],4.8/10,2013–2015,1h,TV Series,Not Rated,"['Comedy', 'Talk-Show']",https://www.imdb.com/title/tt2099467/?ref_=nm_flmg_slf_46
Late Night with Jimmy Fallon,['self'],6.8/10,2009–2014,1h,TV Series,TV-14,"['Comedy', 'Music']",https://www.imdb.com/title/tt1231460/?ref_=nm_flmg_slf_47
19th Annual Critics' Choice Movie Awards,['self'],5.8/10,2014,2h,TV Special,,[],https://www.imdb.com/title/tt3427762/?ref_=nm_flmg_slf_48
71st Golden Globe Awards,['self'],7.2/10,2014,,TV Special,,[],https://www.imdb.com/title/tt3262722/?ref_=nm_flmg_slf_49
E! Live from the Red Carpet,['self'],3.7/10,1995–,4h,TV Series,Unrated,[],https://www.imdb.com/title/tt4346344/?ref_=nm_flmg_slf_50
The Hollywood Reporter in Focus,['self'],,2013–,,TV Series,,[],https://www.imdb.com/title/tt3391950/?ref_=nm_flmg_slf_51
David Letterman Show,['self'],6.9/10,1993–2015,1h,TV Series,TV-PG,"['Comedy', 'Music', 'Talk-Show']",https://www.imdb.com/title/tt0106053/?ref_=nm_flmg_slf_52
Charlie Rose,['self'],7.5/10,1991–2017,1h,TV Series,,"['News', 'Talk-Show']",https://www.imdb.com/title/tt0270116/?ref_=nm_flmg_slf_53
The Daily Show,['self'],8.3/10,1996–,22m,TV Series,TV-14,"['Comedy', 'News', 'Talk-Show']",https://www.imdb.com/title/tt0115147/?ref_=nm_flmg_slf_54
Comedy Central Roasts,['self'],7.3/10,2003–,,TV Series,,[],https://www.imdb.com/title/tt15561558/?ref_=nm_flmg_slf_55
WTF with Marc Maron,['self'],8.0/10,2009–,,Podcast Series,,['Talk-Show'],https://www.imdb.com/title/tt12058860/?ref_=nm_flmg_slf_56
The Late Late Show with Craig Ferguson,['self'],8.4/10,2005–2015,40m,TV Series,TV-14,"['Comedy', 'Music']",https://www.imdb.com/title/tt0437729/?ref_=nm_flmg_slf_57
2013 MTV Movie Awards,['self'],5.2/10,2013,2h 20m,TV Special,TV-14,['Comedy'],https://www.imdb.com/title/tt2806252/?ref_=nm_flmg_slf_58
70th Golden Globe Awards,['self'],7.4/10,2013,,TV Special,,[],https://www.imdb.com/title/tt2604420/?ref_=nm_flmg_slf_59
Vivir de cine,['self'],5.5/10,2012–2013,,TV Series,,[],https://www.imdb.com/title/tt3110888/?ref_=nm_flmg_slf_60
SXSW Flashback 2012,['self'],,2012,57m,TV Special,,['News'],https://www.imdb.com/title/tt2461510/?ref_=nm_flmg_slf_61
The 7PM Project,['self'],4.4/10,2009–,1h,TV Series,,"['Comedy', 'News']",https://www.imdb.com/title/tt1480165/?ref_=nm_flmg_slf_62
Up Close with Carrie Keagan,['self'],4.0/10,2007–,,TV Series,,[],https://www.imdb.com/title/tt1434322/?ref_=nm_flmg_slf_63
Teen Choice Awards 2012,['self'],6.3/10,2012,2h,TV Special,,['Family'],https://www.imdb.com/title/tt2381325/?ref_=nm_flmg_slf_64
Chelsea Lately,"['self', 'archive footage']",5.9/10,2007–2014,22m,TV Series,TV-14,"['Comedy', 'Talk-Show']",https://www.imdb.com/title/tt1002838/?ref_=nm_flmg_slf_65
Attack of the Show!,['self'],7.8/10,2005–2022,1h,TV Series,TV-14,['News'],https://www.imdb.com/title/tt0498878/?ref_=nm_flmg_slf_66
The Tonight Show with Jay Leno,['self'],5.3/10,1992–2014,1h 2m,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']",https://www.imdb.com/title/tt0103569/?ref_=nm_flmg_slf_67
The 84th Annual Academy Awards,['self'],7.1/10,2012,2h 37m,TV Special,TV-14,['Comedy'],https://www.imdb.com/title/tt2089826/?ref_=nm_flmg_slf_68
The 2012 Film Independent Spirit Awards,['self'],5.6/10,2012,,TV Special,,[],https://www.imdb.com/title/tt2302855/?ref_=nm_flmg_slf_69
Movie Talk with Peter Bart,['self'],6.6/10,2012–,,TV Series,,[],https://www.imdb.com/title/tt2209165/?ref_=nm_flmg_slf_70
Oprah's Oscar Special,['self'],,2012,,TV Special,,[],https://www.imdb.com/title/tt2248967/?ref_=nm_flmg_slf_71
The Orange British Academy Film Awards: Red Carpet,['self'],5.3/10,2012,,TV Special,,[],https://www.imdb.com/title/tt2226599/?ref_=nm_flmg_slf_72
Inside the Actors Studio,['self'],8.6/10,1994–,1h 5m,TV Series,TV-PG,[],https://www.imdb.com/title/tt0169455/?ref_=nm_flmg_slf_73
2012 Golden Globe Awards,['self'],7.1/10,2012,,TV Special,,[],https://www.imdb.com/title/tt2125640/?ref_=nm_flmg_slf_74
Moneyball: Drafting the Team,['self'],5.6/10,2012,21m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt5337336/?ref_=nm_flmg_slf_75
Moneyball: Playing the Game,['self'],7.4/10,2012,19m,Video,,"['Documentary', 'Short', 'Sport']",https://www.imdb.com/title/tt5337326/?ref_=nm_flmg_slf_76
Wendy: The Wendy Williams Show,['self'],3.2/10,2008–2022,1h,TV Series,TV-14,[],https://www.imdb.com/title/tt1261356/?ref_=nm_flmg_slf_77
Big Morning Buzz Live,['self'],6.0/10,2011–,1h,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt1907886/?ref_=nm_flmg_slf_78
Studio 42 with Bob Costas,['self'],6.4/10,2009–,,TV Series,,['Sport'],https://www.imdb.com/title/tt2712092/?ref_=nm_flmg_slf_79
Howard Stern on Demand,['self'],7.2/10,2005–2013,,TV Series,TV-MA,['Comedy'],https://www.imdb.com/title/tt0474499/?ref_=nm_flmg_slf_80
2011 MTV Video Music Awards,['self'],5.4/10,2011,,TV Special,,[],https://www.imdb.com/title/tt2027157/?ref_=nm_flmg_slf_81
Unite for Japan,['self'],6.9/10,2011,,Movie,,['Short'],https://www.imdb.com/title/tt1928311/?ref_=nm_flmg_slf_82
16th Annual Critics' Choice Movie Awards,['self'],6.0/10,2011,2h 10m,TV Special,,[],https://www.imdb.com/title/tt1817076/?ref_=nm_flmg_slf_83
StuTV,['self'],,2010–,20m,TV Series,,"['News', 'Talk-Show']",https://www.imdb.com/title/tt4297442/?ref_=nm_flmg_slf_84
How to Train Your Dragon: Viking-Sized Cast,['self'],7.9/10,2010,11m,Video,,"['Documentary', 'Animation', 'Short']",https://www.imdb.com/title/tt7639966/?ref_=nm_flmg_slf_85
SXSW Flashback 2010,['self'],7.8/10,2010,57m,TV Special,TV-PG,['News'],https://www.imdb.com/title/tt1705132/?ref_=nm_flmg_slf_86
The Rotten Tomatoes Show,['self'],8.0/10,2009–,30m,TV Series,,['Comedy'],https://www.imdb.com/title/tt1400986/?ref_=nm_flmg_slf_87
The 5 O'Clock Show,['self'],4.9/10,2010,,TV Series,,[],https://www.imdb.com/title/tt1649948/?ref_=nm_flmg_slf_88
