Title,Category,Rating,Year,Length,Type,Age,Genre
Last Night in Soho,['thanks'],7.1/10,2021,1h 56m,Movie,15,"['Drama', 'Horror', 'Mystery']"
All My Friends Are Dead,['thanks'],5.8/10,2020,1h 36m,Movie,TV-MA,"['Comedy', 'Crime', 'Drama']"
Honey and Wine,['thanks'],5.2/10,2020,1h 30m,Movie,,"['Comedy', 'Drama']"
Creepshow,['thanks'],7.0/10,2019–,44m,TV Series,TV-MA,"['Fantasy', 'Horror', 'Mystery']"
Suspiria,['thanks'],6.7/10,2018,2h 32m,Movie,15,"['Drama', 'Fantasy', 'Horror']"
Amateur,['thanks'],5.9/10,2018,1h 36m,Movie,TV-MA,"['Drama', 'Sport']"
Onda Drömmar,['thanks'],6.1/10,2018,1h 13m,Movie,,"['Crime', 'Fantasy', 'Mystery']"
Rött Mörker,['thanks'],,2018,1h 35m,Movie,,"['Crime', 'Horror', 'Mystery']"
Radical,['thanks'],5.6/10,2017,,Movie,,"['Action', 'Drama', 'Horror']"
Night Job,['thanks'],5.8/10,2017,1h 23m,Movie,,['Comedy']
Satan's Girls,['thanks'],7.5/10,2017,35m,TV Movie,,"['Comedy', 'Horror']"
The Good Time Girls,['thanks'],6.7/10,2017,15m,Movie,Not Rated,"['Short', 'Western']"
Baby Driver,['thanks'],7.6/10,2017,1h 53m,Movie,15,"['Action', 'Crime', 'Drama']"
Unknown Movies,"['thanks', 'archive footage']",6.7/10,2013–2017,,TV Series,,['Thriller']
Grindsploitation 2: The Lost Reels,['thanks'],3.4/10,2016,,Movie,,['Horror']
Paranormal Shades,['thanks'],6.3/10,2016,1h 15m,Movie,,"['Comedy', 'Horror', 'Mystery']"
Urge,['thanks'],4.4/10,2016,1h 29m,Movie,15,['Thriller']
Swiss Army Man,['thanks'],6.9/10,2016,1h 37m,Movie,15,"['Comedy', 'Drama', 'Fantasy']"
Desire,['thanks'],,2015,28m,Movie,,"['Short', 'Comedy', 'Drama']"
Unbreakable Souls,['thanks'],4.4/10,2015,1h 25m,Movie,,"['Drama', 'Mystery', 'Thriller']"
We're Not Alone,['thanks'],5.8/10,2015,1h 27m,Movie,,"['Action', 'Comedy', 'Horror']"
"Love, Guns & Christmas",['thanks'],6.0/10,2015,1h 23m,Movie,,"['Action', 'Comedy', 'Drama']"
