Title,Category,Rating,Year,Length,Type,Age,Genre,URL
Amistad,"['producer', 'director']",7.3/10,1997,2h 35m,Movie,15,"['Biography', 'Drama', 'History']",https://www.imdb.com/title/tt0118607/?ref_=nm_flmg_prd_114
Men in Black,"['producer', 'actor']",7.3/10,1997,1h 38m,Movie,11,"['Action', 'Adventure', 'Comedy']",https://www.imdb.com/title/tt0119654/?ref_=nm_flmg_prd_115
Freakazoid!,['producer'],7.5/10,1995–1997,30m,TV Series,TV-G,"['Animation', 'Short']",https://www.imdb.com/title/tt0111970/?ref_=nm_flmg_prd_116
High Incident,"['producer', 'writer']",7.8/10,1996–1997,1h,TV Series,,['Crime'],https://www.imdb.com/title/tt0115202/?ref_=nm_flmg_prd_117
Twister,['producer'],6.4/10,1996,1h 53m,Movie,11,"['Action', 'Adventure']",https://www.imdb.com/title/tt0117998/?ref_=nm_flmg_prd_118
The Best of Roger Rabbit,['producer'],7.4/10,1996,25m,Video,TV-G,"['Animation', 'Short']",https://www.imdb.com/title/tt0268988/?ref_=nm_flmg_prd_119
Survivors of the Holocaust,"['producer', 'self']",7.3/10,1996,1h 10m,TV Movie,,"['Documentary', 'History', 'War']",https://www.imdb.com/title/tt0117792/?ref_=nm_flmg_prd_120
Balto,['producer'],7.1/10,1995,1h 18m,Movie,7,"['Animation', 'Adventure', 'Drama']",https://www.imdb.com/title/tt0112453/?ref_=nm_flmg_prd_121
Tiny Toons' Night Ghoulery,['producer'],7.3/10,1995,44m,TV Movie,Not Rated,"['Animation', 'Adventure']",https://www.imdb.com/title/tt0123298/?ref_=nm_flmg_prd_122
Casper,['producer'],6.1/10,1995,1h 40m,Movie,7,"['Comedy', 'Family', 'Fantasy']",https://www.imdb.com/title/tt0112642/?ref_=nm_flmg_prd_123
Seaquest DSV,['producer'],6.7/10,1993–1996,1h,TV Series,TV-PG,"['Action', 'Adventure', 'Family']",https://www.imdb.com/title/tt0106126/?ref_=nm_flmg_prd_124
Yakko's World: An Animaniacs Singalong,['producer'],6.8/10,1994,30m,Video,,"['Animation', 'Short']",https://www.imdb.com/title/tt0207838/?ref_=nm_flmg_prd_125
