Title,Category,Rating,Year,Length,Type,Age,Genre,URL
The 25th Annual Critics' Choice Awards,['self'],6.5/10,2020,3h,TV Special,TV-14,['News'],https://www.imdb.com/title/tt10150518/?ref_=nm_flmg_slf_20
Ok! TV,['self'],2.3/10,2013–,30m,TV Series,,"['News', 'Talk-Show']",https://www.imdb.com/title/tt3503424/?ref_=nm_flmg_slf_21
Sidewalks Entertainment,['self'],4.8/10,1994–,30m,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt0094547/?ref_=nm_flmg_slf_22
2019 MTV Video Music Awards,['self'],4.8/10,2019,,TV Special,TV-14,['Music'],https://www.imdb.com/title/tt10545270/?ref_=nm_flmg_slf_23
GMA Day,['self'],3.1/10,2018–,1h,TV Series,,"['News', 'Reality-TV']",https://www.imdb.com/title/tt9114330/?ref_=nm_flmg_slf_24
Late Night with Seth Meyers,['self'],6.2/10,2014–,1h,TV Series,TV-14,"['Comedy', 'Talk-Show']",https://www.imdb.com/title/tt3513388/?ref_=nm_flmg_slf_25
Build,['self'],8.1/10,2014–,,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt4870518/?ref_=nm_flmg_slf_26
E! Live from the Red Carpet,['self'],3.7/10,1995–,4h,TV Series,Unrated,['News'],https://www.imdb.com/title/tt4346344/?ref_=nm_flmg_slf_27
The 76th Annual Golden Globe Awards,['self'],5.4/10,2019,2h 25m,TV Special,TV-14,[],https://www.imdb.com/title/tt9000560/?ref_=nm_flmg_slf_28
Front Row Flynn,['self'],,2018–,,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt10525658/?ref_=nm_flmg_slf_29
The 2018 ESPY Awards,['self'],4.4/10,2018,,TV Special,,[],https://www.imdb.com/title/tt8456982/?ref_=nm_flmg_slf_30
The Talk,['self'],3.1/10,2010–,1h,TV Series,TV-14,['Talk-Show'],https://www.imdb.com/title/tt1740718/?ref_=nm_flmg_slf_31
Close Up with the Hollywood Reporter,['self'],7.0/10,2015–,1h,TV Series,TV-14,['Talk-Show'],https://www.imdb.com/title/tt4931888/?ref_=nm_flmg_slf_32
