Title,Category,Rating,Year,Length,Type,Age,Genre
We're Not Alone,['thanks'],5.8/10,2015,1h 27m,Movie,,"['Action', 'Comedy', 'Horror']"
Muck,['thanks'],2.6/10,2015,1h 39m,Movie,Not Rated,['Horror']
21 Years: Richard Linklater,['thanks'],6.6/10,2014,1h 18m,Movie,Not Rated,"['Documentary', 'Biography']"
The Lashman,['thanks'],6.8/10,2014,1h 24m,Movie,,"['Action', 'Drama', 'Horror']"
Fearless: The Documentary,['thanks'],,2014,54m,Movie,,"['Documentary', 'Action', 'Biography']"
"Lost in Vienna, Austria",['thanks'],6.9/10,2013,1h 22m,Movie,,"['Drama', 'Mystery', 'Thriller']"
Horror Talk Movie Reviews,['thanks'],3.7/10,2013–,,TV Series,,['Horror']
Kiddy Kiddy Bang Bang,['thanks'],9.1/10,2012,9m,Movie,,"['Short', 'Horror', 'Thriller']"
The Day I Kidnapped Tom Cruise,['thanks'],5.0/10,2012,21m,Movie,,"['Short', 'Comedy', 'Drama']"
Tráiganme la Cabeza de la Mujer Metralleta,['thanks'],5.4/10,2012,1h 13m,Movie,Not Rated,"['Action', 'Comedy', 'Crime']"
Mad Dog Crady,['thanks'],,2012,34m,Movie,,"['Short', 'Comedy', 'Horror']"
The Wronged One,['thanks'],8.1/10,2010–,,TV Series,TV-MA,"['Crime', 'Drama']"
A Little Bit Zombie,['thanks'],5.3/10,2012,1h 27m,Movie,R,"['Comedy', 'Horror', 'Sci-Fi']"
Blood City Massacre,['thanks'],6.0/10,2011,1h 9m,Movie,,"['Action', 'Comedy', 'Horror']"
10 pelis,['thanks'],7.0/10,2011,1h 32m,Movie,,"['Comedy', 'Drama', 'Romance']"
Justifiable Circumstances,['thanks'],8.6/10,2011,7m,Movie,,"['Short', 'Drama']"
The Victim,['thanks'],4.2/10,2011,1h 23m,Movie,R,['Thriller']
Priests with Guns,['thanks'],,2011,,Movie,,"['Short', 'Action']"
Jasper Man,['thanks'],7.0/10,2010,8m,Movie,,"['Short', 'Drama', 'Sci-Fi']"
Ruiner,['thanks'],5.4/10,2010,1h 24m,Movie,,"['Horror', 'Thriller']"
The Puppet Monster Massacre,['thanks'],5.4/10,2010,1h 10m,Video,Not Rated,"['Animation', 'Adventure', 'Comedy']"
Zombie Chronicles: The Infected,['thanks'],5.5/10,2010,26m,Video,Not Rated,"['Short', 'Horror', 'Sci-Fi']"
Evolution of the Species: Predators Reborn,"['thanks', 'self']",7.5/10,2010,40m,Video,,"['Documentary', 'Short']"
Tartarus,['thanks'],4.5/10,2010,1h 46m,Movie,,"['Adventure', 'Drama', 'Horror']"
A Gangland Love Story,['thanks'],4.8/10,2010,1h 46m,Movie,,"['Crime', 'Drama', 'Romance']"
