Title,Category,Rating,Year,Length,Type,Age,Genre,URL
James Franco & Seth Rogen: Bound 3,['actor'],7.7/10,2013,4m,Music Video,,"['Short', 'Comedy']",https://www.imdb.com/title/tt8219532/?ref_=nm_flmg_act_63
The Real World: This Is the End Edition,['actor'],6.1/10,2013,6m,TV Short,,"['Short', 'Comedy']",https://www.imdb.com/title/tt4434588/?ref_=nm_flmg_act_64
Arrested Development,['actor'],8.7/10,2003–2019,22m,TV Series,TV-14,['Comedy'],https://www.imdb.com/title/tt0367279/?ref_=nm_flmg_act_66
Burning Love,['actor'],7.9/10,2012–2013,23m,TV Series,TV-14,['Comedy'],https://www.imdb.com/title/tt2292621/?ref_=nm_flmg_act_67
Seth Rogen = Worst Person in the World,['actor'],6.1/10,2013,4m,Video,TV-MA,"['Short', 'Comedy']",https://www.imdb.com/title/tt2836520/?ref_=nm_flmg_act_68
The Mindy Project,['actor'],7.5/10,2012–2017,30m,TV Series,TV-14,['Comedy'],https://www.imdb.com/title/tt2211129/?ref_=nm_flmg_act_69
Shrek's Thrilling Tales,['actor'],6.3/10,2012,1h 13m,Video,TV-PG,"['Animation', 'Short', 'Comedy']",https://www.imdb.com/title/tt2486724/?ref_=nm_flmg_act_71
First Look: Ultimate Teaser Trailer,['actor'],6.5/10,2012,2m,Video,,"['Short', 'Comedy']",https://www.imdb.com/title/tt2188892/?ref_=nm_flmg_act_72
Eastbound & Down,['actor'],8.2/10,2009–2013,28m,TV Series,TV-MA,"['Comedy', 'Drama', 'Sport']",https://www.imdb.com/title/tt0866442/?ref_=nm_flmg_act_73
"For a Good Time, Call...",['actor'],6.0/10,2012,1h 25m,Movie,R,['Comedy'],https://www.imdb.com/title/tt1996264/?ref_=nm_flmg_act_74
Kung Fu Panda: Secrets of the Masters,['actor'],6.8/10,2011,23m,Video,TV-PG,"['Animation', 'Short']",https://www.imdb.com/title/tt1980162/?ref_=nm_flmg_act_75
Night of the Living Carrots,['actor'],6.2/10,2011,13m,Video,TV-PG,"['Animation', 'Short']",https://www.imdb.com/title/tt2090578/?ref_=nm_flmg_act_76
Take This Waltz,['actor'],6.5/10,2011,1h 56m,Movie,R,['Comedy'],https://www.imdb.com/title/tt1592281/?ref_=nm_flmg_act_78
Kung Fu Panda 2,['actor'],7.2/10,2011,1h 30m,Movie,PG,"['Animation', 'Action']",https://www.imdb.com/title/tt1302011/?ref_=nm_flmg_act_79
Beastie Boys: Make Some Noise,['actor'],8.6/10,2011,5m,Music Video,,"['Short', 'Comedy', 'Music']",https://www.imdb.com/title/tt6715232/?ref_=nm_flmg_act_80
Paul,['actor'],6.9/10,2011,1h 44m,Movie,R,"['Adventure', 'Comedy']",https://www.imdb.com/title/tt1092026/?ref_=nm_flmg_act_81
Beastie Boys: Fight for Your Right Revisited,['actor'],7.9/10,2011,30m,Movie,Not Rated,"['Short', 'Comedy', 'Music']",https://www.imdb.com/title/tt1791504/?ref_=nm_flmg_act_82
Kung Fu Panda Holiday,['actor'],6.7/10,2010,21m,TV Short,TV-Y7,"['Animation', 'Short']",https://www.imdb.com/title/tt1702433/?ref_=nm_flmg_act_84
The Lonely Island: Like a Boss,['actor'],7.8/10,2009,2m,Music Video,,"['Short', 'Comedy', 'Music']",https://www.imdb.com/title/tt6852222/?ref_=nm_flmg_act_85
Monsters vs Aliens: Mutant Pumpkins from Outer Space,['actor'],6.3/10,2009,26m,TV Short,TV-PG,"['Animation', 'Short', 'Action']",https://www.imdb.com/title/tt1482967/?ref_=nm_flmg_act_86
B.O.B.'s Big Break,['actor'],6.2/10,2009,13m,Video,TV-PG,"['Animation', 'Short']",https://www.imdb.com/title/tt1542599/?ref_=nm_flmg_act_87
Monsters vs. Aliens,"['actor', 'actor']",6.4/10,2009,,Video Game,E10+,"['Action', 'Adventure']",https://www.imdb.com/title/tt1309563/?ref_=nm_flmg_act_89
Family Guy,['actor'],8.2/10,1999–,22m,TV Series,TV-MA,['Animation'],https://www.imdb.com/title/tt0182576/?ref_=nm_flmg_act_90
Observe and Report,['actor'],5.7/10,2009,1h 26m,Movie,R,"['Comedy', 'Crime', 'Drama']",https://www.imdb.com/title/tt1197628/?ref_=nm_flmg_act_91
Fanboys,['actor'],6.5/10,2009,1h 30m,Movie,PG-13,"['Adventure', 'Comedy']",https://www.imdb.com/title/tt0489049/?ref_=nm_flmg_act_93
Zack and Miri Make a Porno,['actor'],6.5/10,2008,1h 41m,Movie,R,"['Comedy', 'Romance']",https://www.imdb.com/title/tt1007028/?ref_=nm_flmg_act_94
Step Brothers,['actor'],6.9/10,2008,1h 38m,Movie,R,[],https://www.imdb.com/title/tt0838283/?ref_=nm_flmg_act_96
Kung Fu Panda,['actor'],7.6/10,2008,1h 32m,Movie,PG,"['Animation', 'Action', 'Adventure']",https://www.imdb.com/title/tt0441773/?ref_=nm_flmg_act_97
Horton Hears a Who!,"['actor', 'soundtrack']",6.8/10,2008,1h 26m,Movie,G,"['Animation', 'Adventure', 'Comedy']",https://www.imdb.com/title/tt0451079/?ref_=nm_flmg_act_98
The Spiderwick Chronicles,['actor'],6.5/10,2008,1h 36m,Movie,PG,"['Action', 'Adventure']",https://www.imdb.com/title/tt0416236/?ref_=nm_flmg_act_99
Jay and Seth Versus the Apocalypse,"['actor', 'writer']",5.4/10,2007,10m,Movie,TV-MA,['Short'],https://www.imdb.com/title/tt1568843/?ref_=nm_flmg_act_101
Shrek the Third,['actor'],6.1/10,2007,1h 33m,Movie,PG,"['Animation', 'Adventure', 'Comedy']",https://www.imdb.com/title/tt0413267/?ref_=nm_flmg_act_102
Help Me Help You,['actor'],6.3/10,2006–2007,30m,TV Series,,"['Comedy', 'Romance']",https://www.imdb.com/title/tt0802146/?ref_=nm_flmg_act_104
American Dad!,['actor'],7.4/10,2005–,22m,TV Series,TV-MA,"['Animation', 'Comedy']",https://www.imdb.com/title/tt0397306/?ref_=nm_flmg_act_105
"You, Me and Dupree",['actor'],5.6/10,2006,1h 50m,Movie,PG-13,['Comedy'],https://www.imdb.com/title/tt0463034/?ref_=nm_flmg_act_106
Early Bird,['actor'],3.3/10,2005,30m,TV Movie,,['Comedy'],https://www.imdb.com/title/tt0809509/?ref_=nm_flmg_act_107
"Wake Up, Ron Burgundy",['actor'],6.0/10,2004,1h 33m,Video,Not Rated,['Comedy'],https://www.imdb.com/title/tt0423505/?ref_=nm_flmg_act_109
Anchorman: The Legend of Ron Burgundy,['actor'],7.1/10,2004,1h 34m,Movie,PG-13,[],https://www.imdb.com/title/tt0357413/?ref_=nm_flmg_act_110
Undeclared,"['actor', 'writer', 'additional crew']",7.9/10,2001–2003,22m,TV Series,TV-14,[],https://www.imdb.com/title/tt0273028/?ref_=nm_flmg_act_111
Dawson's Creek,['actor'],6.8/10,1998–2003,1h,TV Series,TV-14,['Drama'],https://www.imdb.com/title/tt0118300/?ref_=nm_flmg_act_112
Donnie Darko,['actor'],8.0/10,2001,1h 53m,Movie,R,"['Drama', 'Mystery', 'Sci-Fi']",https://www.imdb.com/title/tt0246578/?ref_=nm_flmg_act_113
Freaks and Geeks,"['actor', 'soundtrack']",8.8/10,1999–2000,44m,TV Series,TV-14,['Comedy'],https://www.imdb.com/title/tt0193676/?ref_=nm_flmg_act_114
The Christian Show,"['writer', 'director']",4.8/10,2016–,20m,TV Series,,[],https://www.imdb.com/title/tt6808122/?ref_=nm_flmg_wr_5
Seven Bucks Digital Studios,"['writer', 'self']",3.0/10,2016–,11m,TV Series,,['Short'],https://www.imdb.com/title/tt6744198/?ref_=nm_flmg_wr_6
2015 MTV Video Music Awards,['writer'],4.4/10,2015,,TV Special,TV-14,['Music'],https://www.imdb.com/title/tt4986182/?ref_=nm_flmg_wr_9
Making a Scene,['writer'],5.8/10,2013,10m,Movie,,"['Short', 'Drama']",https://www.imdb.com/title/tt3914298/?ref_=nm_flmg_wr_13
Comedy Central Roasts,"['writer', 'self']",7.3/10,2003–,,TV Series,,[],https://www.imdb.com/title/tt15561558/?ref_=nm_flmg_wr_14
The Watch,['writer'],5.7/10,2012,1h 42m,Movie,R,"['Comedy', 'Sci-Fi']",https://www.imdb.com/title/tt1298649/?ref_=nm_flmg_wr_16
The 2012 Film Independent Spirit Awards,"['writer', 'self']",5.6/10,2012,,TV Special,,['News'],https://www.imdb.com/title/tt2302855/?ref_=nm_flmg_wr_17
Drillbit Taylor,['writer'],5.7/10,2008,1h 50m,Movie,PG-13,"['Action', 'Comedy', 'Crime']",https://www.imdb.com/title/tt0817538/?ref_=nm_flmg_wr_21
Da Ali G Show,['writer'],8.0/10,2000–2004,30m,TV Series,TV-MA,"['Comedy', 'Talk-Show']",https://www.imdb.com/title/tt0241088/?ref_=nm_flmg_wr_24
Black Is King,['soundtrack'],5.7/10,2020,1h 25m,Movie,TV-14,"['Adventure', 'Drama', 'Fantasy']",https://www.imdb.com/title/tt12607910/?ref_=nm_flmg_sdtk_2
The Disney Family Singalong Volume 2,"['soundtrack', 'self']",7.2/10,2020,,TV Special,TV-G,"['Family', 'Music']",https://www.imdb.com/title/tt12249388/?ref_=nm_flmg_sdtk_3
Good Morning Britain,['soundtrack'],3.1/10,2014–,2h 30m,TV Series,,"['News', 'Talk-Show']",https://www.imdb.com/title/tt3644198/?ref_=nm_flmg_sdtk_4
The Tonight Show Starring Jimmy Fallon,"['soundtrack', 'self']",7.1/10,2014–,1h,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']",https://www.imdb.com/title/tt3444938/?ref_=nm_flmg_sdtk_8
The Receipt: Bananas Town,['director'],4.4/10,2017,1m,Movie,,"['Short', 'Comedy']",https://www.imdb.com/title/tt6893216/?ref_=nm_flmg_dr_8
Dolittle,['script and continuity department'],5.6/10,2020,1h 41m,Movie,PG,"['Adventure', 'Comedy']",https://www.imdb.com/title/tt6673612/?ref_=nm_flmg_scdp_1
Dog,['thanks'],6.5/10,2022,1h 41m,Movie,PG-13,['Comedy'],https://www.imdb.com/title/tt11252248/?ref_=nm_flmg_tk_1
The Oath,['thanks'],5.6/10,2018,1h 33m,Movie,R,['Comedy'],https://www.imdb.com/title/tt7461200/?ref_=nm_flmg_tk_2
The Brothers Grimsby,['thanks'],6.2/10,2016,1h 23m,Movie,R,"['Action', 'Adventure']",https://www.imdb.com/title/tt3381008/?ref_=nm_flmg_tk_3
Don Jon,['thanks'],6.5/10,2013,1h 30m,Movie,R,"['Comedy', 'Drama']",https://www.imdb.com/title/tt2229499/?ref_=nm_flmg_tk_4
The Dictator,['thanks'],6.4/10,2012,1h 23m,Movie,R,['Comedy'],https://www.imdb.com/title/tt1645170/?ref_=nm_flmg_tk_5
Brüno,['thanks'],5.9/10,2009,1h 21m,Movie,R,[],https://www.imdb.com/title/tt0889583/?ref_=nm_flmg_tk_6
Adventureland,['thanks'],6.8/10,2009,1h 47m,Movie,R,"['Comedy', 'Drama', 'Romance']",https://www.imdb.com/title/tt1091722/?ref_=nm_flmg_tk_7
2006 MTV Movie Awards,"['thanks', 'self']",5.2/10,2006,,TV Special,,[],https://www.imdb.com/title/tt0790596/?ref_=nm_flmg_tk_8
Searching for America: Part II,['self'],,2024,,Movie,,['Documentary'],https://www.imdb.com/title/tt18571950/?ref_=nm_flmg_slf_1
CBC News: Toronto,['self'],2.8/10,1952–,,TV Series,,[],https://www.imdb.com/title/tt4292678/?ref_=nm_flmg_slf_2
Architectural Digest,['self'],,2010–,,TV Series,,[],https://www.imdb.com/title/tt21157626/?ref_=nm_flmg_slf_3
Dish Nation,['self'],3.7/10,2011–,30m,TV Series,TV-PG,[],https://www.imdb.com/title/tt1973047/?ref_=nm_flmg_slf_4
Entertainment Tonight,"['self', 'archive footage']",3.5/10,1981–,30m,TV Series,,['News'],https://www.imdb.com/title/tt0081857/?ref_=nm_flmg_slf_5
Lay's Super Bowl Commercial,['self'],,2022,,TV Special,,[],https://www.imdb.com/title/tt17789502/?ref_=nm_flmg_slf_7
Hot Ones,['self'],8.4/10,2015–,,TV Series,TV-14,['Comedy'],https://www.imdb.com/title/tt6556992/?ref_=nm_flmg_slf_8
Adele: One Night Only,['self'],8.0/10,2021,1h 28m,TV Special,TV-14,"['Documentary', 'Biography', 'Music']",https://www.imdb.com/title/tt15711284/?ref_=nm_flmg_slf_10
Today,['self'],4.5/10,1952–,4h,TV Series,TV-G,"['News', 'Talk-Show']",https://www.imdb.com/title/tt0044298/?ref_=nm_flmg_slf_11
Storytime with Seth Rogen,['self'],,2021–,,Podcast Series,,['Talk-Show'],https://www.imdb.com/title/tt15791278/?ref_=nm_flmg_slf_12
The 73rd Primetime Emmy Awards,['self'],5.5/10,2021,2h 25m,TV Special,TV-14,[],https://www.imdb.com/title/tt14160048/?ref_=nm_flmg_slf_13
Conan,['self'],8.2/10,2010–2021,42m,TV Series,TV-14,"['Comedy', 'Music', 'Talk-Show']",https://www.imdb.com/title/tt1637574/?ref_=nm_flmg_slf_14
Hollywood Insider,['self'],8.1/10,2018–,,TV Series,,[],https://www.imdb.com/title/tt8638066/?ref_=nm_flmg_slf_16
2021 MTV Movie & TV Awards,['self'],4.5/10,2021,,TV Special,,[],https://www.imdb.com/title/tt14489294/?ref_=nm_flmg_slf_17
The Kelly Clarkson Show,['self'],5.9/10,2019–,1h,TV Series,TV-G,"['Music', 'Musical', 'Talk-Show']",https://www.imdb.com/title/tt9022950/?ref_=nm_flmg_slf_18
Good Morning America,['self'],4.4/10,1975–,2h,TV Series,TV-G,"['News', 'Talk-Show']",https://www.imdb.com/title/tt0072506/?ref_=nm_flmg_slf_19
Armchair Expert with Dax Shepard,['self'],8.8/10,2018–,,Podcast Series,,['Talk-Show'],https://www.imdb.com/title/tt11857594/?ref_=nm_flmg_slf_20
The Critics' Choice Super Awards,['self'],4.0/10,2021,1h 28m,TV Special,,['News'],https://www.imdb.com/title/tt13320628/?ref_=nm_flmg_slf_21
Celebrating Greatness: A Canada's Walk of Fame Special,['self'],,2020,1h,TV Special,,['Talk-Show'],https://www.imdb.com/title/tt13689388/?ref_=nm_flmg_slf_23
The Perfect Weapon,['self'],7.2/10,2020,1h 27m,Movie,TV-MA,[],https://www.imdb.com/title/tt11354168/?ref_=nm_flmg_slf_24
